id_comisaria,nombre_comisaria,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
0,Comisaría de Policía Madrid (Centro),PALACIO,11,CENTRO,1,CALLE LEGANITOS,19.0,28013,439756,4474787,40.42154122155197,-3.710141356900552
1,Comisaría de Policía Madrid (Retiro),CORTES,13,CENTRO,1,CALLE HUERTAS,76.0,28014,441156,4474018,40.412851006436505,-3.694971684823216
2,Comisaría de Policía Madrid (Arganzuela),ACACIAS,22,ARGANZUELA,2,RONDA TOLEDO,26.0,28005,440082,4473001,40.40546799192066,-3.7061386215330936
3,Comisaría de Policía Madrid (Salamanca),GOYA,42,SALAMANCA,4,CALLE PRINCIPE DE ASTURIAS,8.0,28006,443027,4475466,40.427880697814125,-3.671666443438239
4,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),CASTILLA,56,CHAMARTIN,5,AVENIDA PIO XII,48.0,28016,442950,4480048,40.469152346150686,-3.672973959296602
5,Comisaría de Policía Madrid (Tetuán),VALDEACEDERAS,65,TETUAN,6,PASAJE MAESTROS LADRILLEROS,2.0,28039,440783,4479542,40.46444244225699,-3.6984873586792526
6,Comisaría de Policía Madrid (Chamberí),ALMAGRO,74,CHAMBERI,7,CALLE RAFAEL CALVO,33.0,28010,441322,4476170,40.43410421469796,-3.6918185186141024
7,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo),MIRASIERRA,87,FUENCARRAL-EL PARDO,8,CALLE MIRADOR DE LA REINA,4.0,28035,438455,4482188,40.48810930619037,-3.726201743268821
8,Comisaría de Policía Madrid (Moncloa - Aravaca),ARGUELLES,92,MONCLOA-ARAVACA,9,CALLE REY FRANCISCO,15.0,28008,439223,4475404,40.42705302635917,-3.716490859340778
9,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Carabanchel),PUERTA BONITA,115,CARABANCHEL,11,CALLE PADRE AMIGO,3.0,28025,437185,4470171,40.37976058045636,-3.739998239377629
10,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),VISTA ALEGRE,114,CARABANCHEL,11,AVENIDA POBLADOS,51.0,28047,435693,4470454,40.3821961594519,-3.757602010619672
11,Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2),PRADOLONGO,127,USERA,12,CALLE PRIMITIVA GA&amp;Ntilde;AN,6.0,28026,439794,4470255,40.38070988121351,-3.709272877193428
12,Comisaría de Policía Madrid (Puente de Vallecas),PALOMERAS BAJAS,133,PUENTE DE VALLECAS,13,CALLE PE&amp;Ntilde;A TREVINCA,1.0,28018,443937,4471499,40.39220562394054,-3.660577823588684
13,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Villa de Vallecas),ENTREVIAS,131,PUENTE DE VALLECAS,13,PLAZA REGIONES,s/n,28053,443076,4470117,40.37969736641701,-3.6705986546441793
14,Comisaría de Policía Madrid (Moratalaz),FONTARRON,145,MORATALAZ,14,CALLE TACONA,1.0,28030,445569,4471963,40.396493872535565,-3.641389151947866
15,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal),CONCEPCION,154,CIUDAD LINEAL,15,TRAVESIA VIRGEN DE LA ROCA,25.0,28027,444326,4476269,40.4352025709564,-3.6564120450275017
16,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),CANILLAS,163,HORTALEZA,16,CALLE JAVIER DEL QUINTO,s/n,28043,445546,4479957,40.46850680550201,-3.642345049181705
17,Oficina de Tramitación de DNI y Pasaporte (Usera-Villaverde 1),LOS ANGELES,175,VILLAVERDE,17,PASEO GIGANTES Y CABEZUDOS,30.0,28041,441082,4467676,40.35756885956982,-3.6938620027962017
18,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (San Blas - Canillejas),AMPOSTA,203,SAN BLAS-CANILLEJAS,20,CALLE ALBERIQUE,20.0,28037,447756,4475582,40.42923619782668,-3.615917204538452
