id_cine,nombre_cine,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
0,Cines Callao,SOL,16,CENTRO,1,PLAZA CALLAO,3.0,28013,440150,4474615,40.42001256069903,-3.705489125591789
1,Yelmo Cines Ideal,EMBAJADORES,12,CENTRO,1,CALLE DOCTOR CORTEZO,6.0,28012,440287,4473925,40.41381195334125,-3.703799959506574
2,Cine Capitol Gran Vía,PALACIO,11,CENTRO,1,CALLE GRAN VIA,41.0,28013,440057,4474664,40.42043827261684,-3.706589819519849
3,Filmoteca Española. Cine Doré,EMBAJADORES,12,CENTRO,1,CALLE SANTA ISABEL,3.0,28012,440675,4473701,40.411807323876616,-3.69922751452095
4,Cine Estudio Círculo de Bellas Artes,CORTES,13,CENTRO,1,CALLE ALCALA,42.0,28014,440903,4474433,40.418417756198565,-3.6966084554513072
5,Cine Palacio de la Prensa,SOL,16,CENTRO,1,PLAZA CALLAO,4.0,28013,440148,4474597,40.41984118412432,-3.705522697812613
6,Cine Artistic Metropol,ACACIAS,22,ARGANZUELA,2,CALLE CIGARRERAS,6.0,28005,439972,4472935,40.404856499695455,-3.70742856791561
7,Cineteca Madrid,CHOPERA,23,ARGANZUELA,2,PLAZA LEGAZPI,8.0,28045,440946,4471394,40.391053041229135,-3.695807971926008
8,Cine Cinesa Méndez Álvaro,ATOCHA,27,ARGANZUELA,2,CALLE ACANTO,2.0,28045,442670,4471989,40.39652456702154,-3.6755496528510783
9,Cines Embajadores,DELICIAS,25,ARGANZUELA,2,GLORIETA SANTA MARIA DE LA CABEZA,5.0,28045,440722,4472467,40.40070476221974,-3.698541454850656
10,Cine Renoir Retiro,IBIZA,34,RETIRO,3,CALLE NARVAEZ,42.0,28009,442622,4474603,40.42007851600518,-3.6763627973897455
11,Cine Verdi,TRAFALGAR,73,CHAMBERI,7,CALLE BRAVO MURILLO,28.0,28015,440284,4476459,40.43662476624267,-3.70408281907753
12,Cine Sala Berlanga,GAZTAMBIDE,71,CHAMBERI,7,CALLE ANDRES MELLADO,53.0,28015,439407,4476388,40.43592165987274,-3.7144273694875034
13,Cine Cinesa Proyecciones,TRAFALGAR,73,CHAMBERI,7,CALLE FUENCARRAL,136.0,28010,440350,4475887,40.43148568058066,-3.7032511074682977
14,Cine Yelmo Luxury Palafox,TRAFALGAR,73,CHAMBERI,7,CALLE LUCHANA,15.0,28010,440548,4475729,40.430081135559696,-3.70090220334248
15,Pequeño Cine Estudio,ARAPILES,72,CHAMBERI,7,CALLE MAGALLANES,1.0,28015,440166,4475995,40.4324363685589,-3.705430315372582
16,Cine La Vaguada,EL PILAR,84,FUENCARRAL-EL PARDO,8,AVENIDA MONFORTE DE LEMOS,36.0,28029,439967,4481168,40.47903297218874,-3.708264188659831
17,Autocine Madrid,VALVERDE,86,FUENCARRAL-EL PARDO,8,CALLE ANTONIO DE CABEZON,8.0,28034,442150,4483527,40.500437060081694,-3.682719171453021
18,Cines Renoir Princesa,ARGUELLES,92,MONCLOA-ARAVACA,9,CALLE PRINCESA,3.0,28008,439529,4475145,40.424733058522776,-3.7128707959595735
19,Cines Golem,ARGUELLES,92,MONCLOA-ARAVACA,9,CALLE MARTIN DE LOS HEROS,14.0,28008,439458,4475141,40.42470339769853,-3.7136954365525874
20,Cine Renoir Plaza de España,ARGUELLES,92,MONCLOA-ARAVACA,9,CALLE MARTIN DE LOS HEROS,12.0,28008,439481,4475105,40.424378311873575,-3.7134211001030777
21,Cine Cinesa Príncipe Pío 3D,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,PASEO FLORIDA,0.0,28008,438838,4474711,40.42078197104075,-3.7209625681527143
22,Yelmo Cines Islazul,BUENAVISTA,116,CARABANCHEL,11,CALLE CALDERILLA,1.0,28054,437347,4468555,40.3652060762759,-3.737931015705989
23,Odeón Multicines Alcalá Norte,PUEBLO NUEVO,152,CIUDAD LINEAL,15,CALLE ALCALA,414.0,28027,445843,4476510,40.4374469065336,-3.638523962349189
24,Cine mk2 Palacio de Hielo,CANILLAS,163,HORTALEZA,16,CALLE SILVANO,77.0,28043,446080,4479321,40.462803146661386,-3.636003964017397
25,Cine Cinesa Manoteras,VALDEFUENTES,166,HORTALEZA,16,AVENIDA MANOTERAS,40.0,28050,443605,4481918,40.48604287095553,-3.66541423655992
26,Centro Comercial Dreams - Palacio Municipal de Hielo,CANILLAS,163,HORTALEZA,16,CALLE SILVANO,77.0,28043,446103,4479332,40.46291274127404,-3.635733711568097
27,Cine Cinesa La Gavia 3D,CASCO H.VALLECAS,181,VILLA DE VALLECAS,18,CALLE ADOLFO BIOY CASARES,2.0,28051,449271,4468741,40.367701522967664,-3.597512351069017
28,Cine Cinesa Las Rosas,ARCOS,204,SAN BLAS-CANILLEJAS,20,AVENIDA GUADALAJARA,2.0,28032,447189,4474396,40.41850711270872,-3.622514533528407
29,Yelmo Cines Plenilunio,REJAS,206,SAN BLAS-CANILLEJAS,20,CALLE ARACNE,1.0,28022,450134,4477616,40.44721405853152,-3.5873600941452284
